item_name,item_rating,item_price 
Glass Screen Protector For Samsung Galaxy M12- Black ,0%, was EGP149.00     Special Price EGP99.00
Silicone Back Cover for Samsung Galaxy A32 - Yellow ,0%, was EGP99.00     Special Price EGP49.00
Silicone Back Cover Samsung Galaxy A03s - Black ,0%, was EGP99.00     Special Price EGP49.00
Silicone Back Cover for Samsung Galaxy A33 - Black ,0%, was EGP99.00     Special Price EGP49.00
Devia Mobile Screen Protector Nano TPH Intelligent Screen Antibacterial for Samsung Galaxy Note 20 ,0%, was EGP99.00     Special Price EGP20.00
Q-Series Back cover Clear For Samsung Galaxy S23 Plus - Black Frame ,0%, EGP499.00
Back Cover leather For Samsung Galaxy A73 - Black ,0%, EGP249.00
Silicone Back Cover for Samsung Galaxy A23 - Mint Green ,0%, was EGP99.00     Special Price EGP49.00
Back Cover Boter 3D for Samsung Galaxy A23 - Skin 4 ,0%, was EGP149.00     Special Price EGP99.00
Cover Leather Wrapped PC Inner Shell for Samsung Galaxy Z Flip 4 - Black ,0%, was EGP499.00     Special Price EGP449.00
Cover Leather Wrapped PC Inner Shell for Samsung Galaxy  Z Fold 4 - Black ,0%, was EGP499.00     Special Price EGP449.00
Q.Y Clear Case Shockproof Protection Slim Anti-Scratch for Samsung Galaxy S22 Ultra - Black ,0%, was EGP399.00     Special Price EGP339.00
Flip Leather Cover with internal Rubber Protection for Samsung Galaxy Tab A7 LTE (SM-T505) - Brown ,0%, was EGP379.00     Special Price EGP329.00
Back Cover leather For Samsung Galaxy S22 - Black ,0%, was EGP359.00     Special Price EGP299.00
Back Cover leather For Samsung Galaxy A53 - Black ,0%, EGP249.00
Back Cover leather For Samsung Galaxy A73 - Red ,0%, EGP249.00
Back cover Alouchoo Shock Absorption Technology Bumper Soft TPU for Samsung Galaxy S22 Plus - Clear ,0%, was EGP299.00     Special Price EGP249.00
Armor Screen Nano Glass anti Broken for Samsung Galaxy Tab A7 Lite ,0%, EGP199.00
Armor Screen Nano Glass anti Broken for Samsung Galaxy A33 ,0%, EGP149.00
Back Cover Boter 3D for Samsung Galaxy A23 - Skin 6 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A13 - Skin 10 ,0%, was EGP149.00     Special Price EGP99.00
Braided Solo Loop Band Strap For Samsung Galaxy Watch 46mm / Huawei GT2 / Gear S3 Frontier and Classic / Honor Magic 2 / Fossil - 22mm- Blue ,0%, EGP99.00
Braided Solo Loop Band Strap For Samsung Galaxy Watch 46mm / Huawei GT2 / Gear S3 Frontier and Classic / Honor Magic 2 / Fossil - 22mm - White ,0%, EGP99.00
Braided Solo Loop Band Strap For Samsung Galaxy Watch 46mm / Huawei GT2 / Gear S3 Frontier and Classic / Honor Magic 2 / Fossil - 22mm -Blue*Black ,0%, EGP99.00
Case TPU Protector For Samsung Galaxy Watch4 Classic (46mm) - Clear ,0%, was EGP179.00     Special Price EGP99.00
Braided Solo Loop Band Strap For Samsung Galaxy Watch 46mm / Huawei GT2 / Gear S3 Frontier and Classic / Honor Magic 2 / Fossil - 22mm - Pink ,0%, EGP99.00
Braided Solo Loop Band Strap For Samsung Galaxy Watch 46mm / Huawei GT2 / Gear S3 Frontier and Classic / Honor Magic 2 / Fossil - 22mm- Black*White ,0%, EGP99.00
Back Cover Boter 3D for Samsung Galaxy A23 - Skin 2 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A23 - Skin 5 ,0%, was EGP149.00     Special Price EGP99.00
Silicone Back Cover for Samsung Galaxy A13 - Blue ,0%, was EGP99.00     Special Price EGP49.00
Ceramic Screen Protector For Samsung Galaxy A21 & A21S - Black ,0%, was EGP49.00     Special Price EGP29.00
Silicone Back Cover for Samsung Galaxy A72 - Purple ,0%, was EGP99.00     Special Price EGP49.00
Cover Leather Wrapped PC Inner Shell for Samsung Galaxy Z Flip 4 - Brown ,0%, was EGP499.00     Special Price EGP449.00
Cover Leather Wrapped PC Inner Shell for Samsung Galaxy  Z Fold 4 - Brown ,0%, was EGP499.00     Special Price EGP449.00
Cover Leather Wrapped PC Inner Shell for Samsung Galaxy  Z Fold 4 - Blue ,0%, was EGP499.00     Special Price EGP449.00
Q.Y Clear Case Shockproof Protection Slim Anti-Scratch for Samsung Galaxy S22 Ultra - Silver ,0%, was EGP399.00     Special Price EGP339.00
Flip Leather Cover with internal Rubber Protection for Samsung Galaxy Tab A7 LTE (SM-T505) - Black ,0%, was EGP359.00     Special Price EGP329.00
Q.Y Clear Case Shockproof Protection Slim Anti-Scratch for Samsung Galaxy S22 Ultra - Red ,0%, was EGP399.00     Special Price EGP319.00
Flip Leather Cover with internal Rubber Protection for Samsung Galaxy Tab A7 LTE (SM-T505) - Blue ,0%, was EGP349.00     Special Price EGP319.00
Q.Y Clear Case Shockproof Protection Slim Anti-Scratch for Samsung Galaxy S22 Ultra - Green ,0%, was EGP399.00     Special Price EGP319.00
Armor 4 IN 1 Screen for Samsung Galaxy A53 ,0%, EGP299.00
Back cover Alouchoo Shock Absorption Technology Bumper Soft TPU for Samsung Galaxy S22 - Clear ,0%, EGP299.00
Back Cover Leather For Samsung Galaxy S22 Ultra - Green ,0%, was EGP359.00     Special Price EGP299.00
Back Cover Leather For Samsung Galaxy S22 Ultra - Blue ,0%, was EGP359.00     Special Price EGP299.00
Nillkin Textured Case S Cam Shield Lens Protector for Samsung Galaxy S22 Ultra - Black ,0%, EGP299.00
Back Cover leather For Samsung Galaxy A53 - Red ,0%, EGP249.00
Back cover Alouchoo Shock Absorption Technology Bumper Soft TPU for Samsung Galaxy S22 Ultra - Clear ,0%, was EGP299.00     Special Price EGP249.00
Back Cover Carbon Fiber for Samsung Galaxy A32 - Gold ,0%, was EGP179.00     Special Price EGP149.00
Back Cover Carbon Fiber for Samsung Galaxy A32 - Black ,0%, was EGP179.00     Special Price EGP149.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 1 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 4 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 6 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 8 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 9 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A13 - Skin 3 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A13 - Skin 4 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 2 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 3 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 5 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A33 - Skin 7 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A13 - Skin 5 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A13 - Skin 7 ,0%, was EGP149.00     Special Price EGP99.00
Back Cover Boter 3D for Samsung Galaxy A23 - Skin 1 ,0%, was EGP149.00     Special Price EGP99.00
